Title,Address,City,Price,Bedroom,Bathroom,Floors,Parking,Face,Year,Views,Area,Road,Road Width,Road Type,Build Area,Posted,Amenities,Area_Aana,PricePerAana
"House For Sale In Imadol, Lalitpur","sital height, Imadol, Lalitpur",Lalitpur,16000000,4,4,3.0,2,South East,2075.0,1.9K,0-3-0-0 Aana,13 Feet,13 Feet,,N/A Sq. Feet,1 year ago,"['Balcony', 'Fencing', 'Modular Kitchen', 'Water Tank', 'Water Well']",0.75,21333333.333333332
"House For Sale In Thamel, Kathmandu","Thahiti Chowk, Thamel, Kathmandu",Kathmandu,37500000,4,4,6.0,4,East,,316,0-2-3-2 Aana,12 Feet,12 Feet,,N/A Aana,1 year ago,"['Balcony', 'Gym', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank']",0.71875,52173913.04347826
"Land For Sale In Thamel, Kathmandu","Thamel, Thamel, Kathmandu",Kathmandu,20000000,0,0,,0,East,,267,1.11 Ropani,26 Feet,26 Feet,,N/A Sq. Feet,1 year ago,[],17.76,1126126.126126126
"House For Sale In Gongabu, Kathmandu","Mitranagar, Gongabu, Kathmandu",Kathmandu,31000000,9,9,4.0,3,North,,298,2.2 Aana,9 Feet,9 Feet,,N/A Sq. Feet,1 year ago,"['Balcony', 'TV Cable', 'Wifi', 'Water Supply', 'Water Tank']",2.0,15500000.0
"Apartment For Sale In Samakhusi, Kathmandu","Samakhusi Town Planning, Samakhusi, Kathmandu",Kathmandu,20500000,5,4,3.0,3,South,,356,2.2 Aana,16 Feet,16 Feet,,N/A Sq. Feet,1 year ago,"['Balcony', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank']",2.0,10250000.0
"House For Sale In Sano Bharyang, Kathmandu","Near by Yellow Gumba, Sano Bharyang, Kathmandu",Kathmandu,26000000,4,5,3.0,3,East,,247,0-4-0-2 Aana,12 Feet,12 Feet,,N/A Sq. Feet,1 year ago,"['Balcony', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank']",1.03125,25212121.21212121
"Apartment For Rent In Naxal, Kathmandu","Narayanchaur, Naxal, Kathmandu",Kathmandu,120000,2,2,3.0,2,South West,,323,1100 Sq. Feet,16 Feet,16 Feet,,N/A Sq. Feet,1 year ago,"['Balcony', 'Swimming Pool', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank']",3.214024835646457,37336.36363636364
"Apartment For Sale In Bhaisepati, Lalitpur","Bhaisepati, Bhaisepati, Lalitpur",Lalitpur,7500000,2,2,1.0,2,West,,864,800 Sq. Feet,24 Feet,24 Feet,,N/A Sq. Feet,1 year ago,"['Balcony', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank']",2.337472607742878,3208593.7500000005
"Apartment For Rent In Panipokhari, Kathmandu","panipokhari, Panipokhari, Kathmandu",Kathmandu,100000,2,2,1.0,2,West,,356,1000 Sq. Feet,20 Feet,20 Feet,,N/A Sq. Feet,1 year ago,"['Balcony', 'Garden', 'Swimming Pool', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank']",2.9218407596785974,34225.0
"Apartment For Sale In Lazimpat, Kathmandu","Panipokhari, Lazimpat, Kathmandu",Kathmandu,17500000,3,3,3.0,2,South,,737,1582 Sq. Feet,20 Feet,20 Feet,,N/A Sq. Feet,1 year ago,"['Balcony', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank']",4.622352081811541,3785951.3274336285
"Land At Gausala, Battisputali : Land For Sale In Old Baneshwor, Kathmandu","Battisputali, Old Baneshwor, Kathmandu",Kathmandu,5500000,0,0,,0,South,,6.1K,0-7-2-0 Aana,6 Meter,6 Meter,,N/A Sq. Feet,1 year ago,[],1.875,2933333.3333333335
"Apartment For Rent In Durbar Marg, Kathmandu","Durbar marg, Durbar Marg, Kathmandu",Kathmandu,110000,2,2,3.0,2,North East,,375,1100 Sq. Feet,13 Feet,13 Feet,,N/A Sq. Feet,1 year ago,"['Balcony', 'Garden', 'Swimming Pool', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank']",3.214024835646457,34225.0
"Scenic : House For Sale In Dhapakhel, Lalitpur","Dhapakhel height, Dhapakhel, Lalitpur",Lalitpur,25000000,4,3,3.0,1,South,2072.0,5.9K,0-4-3-0 Aana,13 Feet,13 Feet,,800 Sq. Feet,1 year ago,"['Balcony', 'Fencing', 'Garden', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Solar Water', 'Water Tank']",1.1875,21052631.57894737
"House At New Colony : House For Sale In Budhanilkantha, Kathmandu","New Colony, Budhanilkantha, Budhanilkantha, Kathmandu",Kathmandu,28500000,3,3,2.0,1,South West,2073.0,6.5K,0-4-5-0 Aana,18 Feet,18 Feet,,N/A Sq. Feet,1 year ago,"['Garage', 'Backyard', 'Balcony', 'Fencing', 'Frontyard', 'Garden', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Water Supply']",1.3125,21714285.714285713
"Apartment For Rent In Lazimpat, Kathmandu","lazimpat, Lazimpat, Kathmandu",Kathmandu,40000,0,0,,0,East,,518,180 Aana,0 Feet,0 Feet,,N/A Aana,1 year ago,"['Balcony', 'Modular Kitchen', 'Drainage', 'Water Supply', 'Water Tank']",180.0,222.22222222222223
"Dhobhighat : Land For Rent In Dhobighat, Lalitpur","Dhobhighat, Lalitpur, Dhobighat, Lalitpur",Lalitpur,250000,0,0,,0,East,,325,2.2 Ropani,20 Feet,20 Feet,,2 Ropani,1 year ago,"['Garage', 'Water Supply']",35.2,7102.272727272727
"Business For Sale In Naxal, Kathmandu","Near, Bhat bhateni, Naxal, Kathmandu",Kathmandu,3000000,0,0,,0,South,,4.9K,400 Sq. Feet,35 Feet / Blacktopped,35 Feet , Blacktopped,N/A Sq. Feet,1 year ago,"['Air Condition', 'TV Cable']",1.168736303871439,2566875.0000000005
"Land For Sale In Bhaisepati, Lalitpur","Near, Bhaisepati Colony, Bhaisepati, Lalitpur",Lalitpur,2400000,0,0,,0,South East,,520,0-6-0-0 Aana,16 Feet,16 Feet,,N/A Sq. Feet,1 year ago,[],1.5,1600000.0
"Land For Sale In Banasthali, Kathmandu","Near, Dhungedhara, Banasthali, Kathmandu",Kathmandu,3500000,0,0,,0,East,,425,0-5-0-0 Aana,16 Feet,16 Feet,,N/A Sq. Feet,1 year ago,[],1.25,2800000.0
"House For Sale In Lubhu, Lalitpur","Near, Sarbotchrit School, Lubhu, Lalitpur",Lalitpur,14500000,4,3,2.0,1,South East,,768,0-5-0-3 Aana,13 Feet,13 Feet,,N/A Sq. Feet,1 year ago,"['Backyard', 'Balcony', 'Frontyard', 'Garden', 'Modular Kitchen', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Water Well']",1.296875,11180722.891566265
"House For Sale In Sunderbasti, Kathmandu","Budanilkantha, Sunderbasti, Kathmandu",Kathmandu,27500000,6,4,3.0,1,South East,,375,0-5-0-3 Aana,13 Feet,13 Feet,,N/A Sq. Feet,1 year ago,"['Backyard', 'Balcony', 'Frontyard', 'Modular Kitchen', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Water Well']",1.296875,21204819.277108435
"Land For Sale In Sitapaila, Kathmandu","Near, Padma Colony, Sitapaila, Kathmandu",Kathmandu,2600000,0,0,,0,East,,302,0-4-0-0 Aana,13 Feet,13 Feet,,N/A Sq. Feet,1 year ago,[],1.0,2600000.0
"Lamas Residence : House For Rent In Lubhu, Lalitpur","Lubhu Lalitpur, Lubhu, Lalitpur",Lalitpur,60000,6,2,2.0,0,East,,351,16 Aana,18 Feet,18 Feet,,8 Aana,1 year ago,"['Garage', 'Balcony', 'Garden', 'Water Supply', 'Lawn', 'Frontyard', 'Backyard']",16.0,3750.0
"Apartment For Rent In Bishal Nagar, Kathmandu","Central Park Apartment, Bishal Nagar, Kathmandu",Kathmandu,120000,3,2,10.0,0,East,,394,1300 Sq. Feet,20 Feet,20 Feet,,N/A Sq. Feet,1 year ago,[],3.7983929875821767,31592.30769230769
"Apartment For Rent In Swayambhu, Kathmandu","Bijeshwari, Swayambhu, Kathmandu",Kathmandu,150000,2,2,4.0,0,South East,,371,1200 Sq. Feet,15 Feet,15 Feet,,N/A Sq. Feet,1 year ago,[],3.506208911614317,42781.25
"Apartment For Sale In Kamalpokhari, Kathmandu","Kamalpokhari, Kamalpokhari, Kathmandu",Kathmandu,55000000,2,3,,0,North East,,565,3400 Sq. Feet,20 Feet,20 Feet,,N/A Sq. Feet,1 year ago,"['Balcony', 'Garden', 'Gym', 'Washing Machine', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank']",9.934258582907232,5536397.05882353
"Apartment For Rent In Jhamsikhel, Lalitpur","Jhamsikhel, Jhamsikhel, Lalitpur",Lalitpur,40000,2,1,,0,East,,554,750 Sq. Feet,15 Feet,15 Feet,,N/A Sq. Feet,1 year ago,"['Balcony', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply']",2.191380569758948,18253.333333333332
"Apartment For Sale In Dhobighat, Lalitpur","Bazra and Sangrila Residency, Dhobighat, Lalitpur",Lalitpur,16500000,3,2,10.0,0,East,,619,1350 Sq. Feet,20 Feet,20 Feet,,N/A Sq. Feet,1 year ago,[],3.944485025566107,4183055.5555555555
"Best For Commercial Use : House For Sale In Kamalpokhari, Kathmandu","Naxal, kathmandu, Kamalpokhari, Kathmandu",Kathmandu,30000000,0,3,5.0,0,West,,524,1-3-3 Aana,32 Feet,32 Feet,,N/A Sq. Feet,1 year ago,[],1.0,30000000.0
"Newly Built : House For Rent In Baneshwor, Kathmandu","Mid- Baneshwor, Baneshwor, Kathmandu",Kathmandu,125000,5,2,2.0,5,East,2076.0,1.8K,10 Aana,13 Feet,13 Feet,,N/A Sq. Feet,1 year ago,"['Lawn', 'Garage', 'Balcony', 'Deck', 'Water Supply']",10.0,12500.0
"House For Rent In Bhaisepati, Lalitpur","Near, Radio Tower, Bhaisepati, Lalitpur",Lalitpur,250000,5,3,3.0,2,East,2075.0,12.7K,13 Aana,20 Feet,20 Feet,,4 Aana,1 year ago,"['Garage', 'Backyard', 'Balcony', 'Frontyard', 'Garden', 'Microwave', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Water Supply', 'Solar Water', 'Water Tank', 'Water Well']",13.0,19230.76923076923
"Land For Sale In Kalanki, Kathmandu","Dhungeadda, Kalanki, Kathmandu",Kathmandu,4500000,0,0,,0,South East,,317,13 Aana,20 Feet,20 Feet,,N/A Aana,1 year ago,[],13.0,346153.8461538461
"House For Sale In Maharajgunj, Kathmandu","Nearby, Teaching Hospital, Maharajgunj, Kathmandu",Kathmandu,47500000,10,6,,0,East,,392,0-3-0-1 Aana,11 Meter,11 Meter,,N/A Sq. Feet,1 year ago,"['Balcony', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank']",0.765625,62040816.32653061
"Land For Sale In Godawari, Lalitpur","Godawari, Godawari, Lalitpur",Lalitpur,950000,0,0,,0,South,,360,10 Aana,24 Feet,24 Feet,,N/A Sq. Feet,1 year ago,[],10.0,95000.0
"House For Sale In Chabahil, Kathmandu","Chuchhepati, Chabahil, Kathmandu",Kathmandu,35000000,10,4,3.0,0,West,,383,4.5 Aana,20 Feet,20 Feet,,N/A Sq. Feet,1 year ago,[],4.0,8750000.0
"Land For Sale In Tikathali, Lalitpur","Pani Tanki, Tikathali, Lalitpur",Lalitpur,2000000,0,0,,0,West,,9.3K,0-5-1-1 Aana,14 Feet,14 Feet,,N/A Sq. Feet,1 year ago,[],1.328125,1505882.3529411764
"Land For Sale In Satungal, Kathmandu","Balagaun, Satungal, Kathmandu",Kathmandu,2500000,0,0,,0,South,,308,0-3-3-3 Aana,14 Feet,14 Feet,,N/A Sq. Feet,1 year ago,[],0.984375,2539682.5396825396
"House For Rent In Sanepa, Lalitpur","Sanepa, Sanepa, Lalitpur",Lalitpur,300000,14,5,3.0,0,North,,423,32 Aana,13 Feet,13 Feet,,4000 Sq. Feet,1 year ago,[],32.0,9375.0
"Land For Rent In Dhapasi, Kathmandu","Dhapasi Height, Dhapasi, Kathmandu",Kathmandu,60000,0,0,,0,South East,,437,18 Aana,20 Feet,20 Feet,,N/A Sq. Feet,1 year ago,[],18.0,3333.3333333333335
"House For Rent In Bhaisepati, Lalitpur","Mangal Colony, Bhaisepati, Lalitpur",Lalitpur,60000,3,3,3.0,0,North,,550,4.5 Aana,16 Feet,16 Feet,,1300 Sq. Feet,1 year ago,"['Balcony', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank']",4.0,15000.0
"Apartment For Rent In Hattiban, Lalitpur","City Scape Apartment, Hattiban, Lalitpur",Lalitpur,55000,3,2,,0,North,,598,1300 Sq. Feet,20 Feet,20 Feet,,N/A Sq. Feet,1 year ago,"['Balcony', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank']",3.7983929875821767,14479.807692307693
"House For Sale In Syuchatar, Kathmandu","Syuchatar, Syuchatar, Kathmandu",Kathmandu,20000000,5,3,3.0,0,North,,383,0-3-3-0 Aana,20 Feet,20 Feet,,N/A Sq. Feet,1 year ago,"['Balcony', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank']",0.9375,21333333.333333332
"Apartment For Sale In Tripureshwor, Kathmandu","Tripureshwor, Tripureshwor, Kathmandu",Kathmandu,25000000,3,4,4.0,0,South East,,839,3000 Sq. Feet,13 Feet,13 Feet,,N/A Sq. Feet,1 year ago,"['Balcony', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank']",8.765522279035793,2852083.3333333335
"House For Sale In Balkhu, Kathmandu","Kumari Club, Balkhu, Kathmandu",Kathmandu,49500000,7,7,3.0,0,South,,695,9 Aana,10 Feet,10 Feet,,N/A Sq. Feet,1 year ago,"['Balcony', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank']",9.0,5500000.0
"Land For Sale In Godawari, Lalitpur","Devi Chaur, Godawari, Lalitpur",Lalitpur,300000,0,0,,0,South East,,703,10-22-0-0 Ropani,20 Feet,20 Feet,,N/A Sq. Feet,1 year ago,[],160.0,1875.0
"House For Sale In Kirtipur, Kirtipur","Bhatkeko Party, Kirtipur, Kathmandu",Kathmandu,18000000,4,4,2.0,0,South East,,783,6 Aana,20 Feet,20 Feet,,2045 Sq. Feet,1 year ago,"['Lawn', 'TV Cable', 'Wifi', 'Water Supply', 'Water Tank']",6.0,3000000.0
"House For Sale In Baneshwor, Kathmandu","Behind Bicc Hall, Baneshwor, Kathmandu",Kathmandu,6000000,0,0,,0,South,,488,9.5 Aana,20 Feet,20 Feet,,N/A Sq. Feet,1 year ago,[],9.0,666666.6666666666
"Land For Sale In Bhaisepati, Lalitpur","Bhaisepati, Bhaisepati, Lalitpur",Lalitpur,2650000,0,0,,0,North,,362,8 Aana,13 Feet,13 Feet,,N/A Sq. Feet,1 year ago,[],8.0,331250.0
"House For Sale In Hattisar, Kathmandu","Hattisar, Hattisar, Kathmandu",Kathmandu,43500000,6,0,3.0,0,West,,375,0-3-2-1 Aana,20 Feet,20 Feet,,N/A Sq. Feet,1 year ago,"['TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank']",0.890625,48842105.2631579
"House For Sale In Lokanthali, Bhaktapur","Lokanthali, Lokanthali, Bhaktapur",Bhaktapur,35000000,14,4,3.0,0,East,,360,7.1 Aana,14 Feet,14 Feet,,N/A Sq. Feet,1 year ago,"['Balcony', 'TV Cable', 'Wifi', 'Water Supply', 'Water Tank']",7.0,5000000.0
"House For Sale In Ravi Bhawan, Kathmandu","Ravi Bhawan, Ravi Bhawan, Kathmandu",Kathmandu,60000000,0,0,3.0,0,East,,594,12 Aana,13 Feet,13 Feet,,N/A Sq. Feet,1 year ago,"['Balcony', 'TV Cable', 'Wifi', 'Drainage', 'Water Tank']",12.0,5000000.0
"Land For Sale In Sankhamul, Kathmandu","Manidol, Sankhamul, Kathmandu",Kathmandu,4200000,0,0,,0,West,,476,22 Aana,20 Feet,20 Feet,,N/A Sq. Feet,1 year ago,[],22.0,190909.0909090909
"House For Sale In Swayambhu, Kathmandu","Halchowk, Swayambhu, Kathmandu",Kathmandu,13000000,4,2,,0,South,,623,4.8 Aana,16 Feet,16 Feet,,N/A Sq. Feet,1 year ago,[],4.0,3250000.0
"Land For Sale In Kalanki, Kathmandu","Kalanki, Kalanki, Kathmandu",Kathmandu,2700000,0,0,,0,North East,,299,7.3 Aana,13 Feet,13 Feet,,N/A Sq. Feet,1 year ago,[],7.0,385714.28571428574
"Land For Sale In Kirtipur, Kirtipur","Bhatkya Party, Kirtipur, Kathmandu",Kathmandu,2100000,0,0,,0,North East,,302,6 Aana,22 Feet,22 Feet,,N/A Sq. Feet,1 year ago,[],6.0,350000.0
"House For Sale In Kalanki, Kathmandu","Kalanki, Kalanki, Kathmandu",Kathmandu,38000000,7,4,3.0,4,East,,407,6.1 Aana,14 Feet,14 Feet,,N/A Sq. Feet,1 year ago,"['Balcony', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank']",6.0,6333333.333333333
"Land For Sale In Tahachal, Kathmandu","Tahachal, Tahachal, Kathmandu",Kathmandu,3700000,0,0,,0,North East,,502,0-2-5-0 Aana,16 Feet,16 Feet,,N/A Sq. Feet,1 year ago,[],0.8125,4553846.153846154
"Land For Sale In Hattiban, Lalitpur","Hattiban, Hattiban, Lalitpur",Lalitpur,2800000,0,0,,0,South,,329,7.1 Aana,20 Feet,20 Feet,,N/A Sq. Feet,1 year ago,[],7.0,400000.0
